9/20/25, 6:30 PM - IP: unknown - [{"status":401,"message":"Unauthorized","exception":{"response":{"message":"Unauthorized","statusCode":401},"status":401,"options":{},"message":"Unauthorized","name":"UnauthorizedException"}}]Error on GET /api/users/7
9/20/25, 6:31 PM - IP: unknown - [{"status":401,"message":"Unauthorized","exception":{"response":{"message":"Unauthorized","statusCode":401},"status":401,"options":{},"message":"Unauthorized","name":"UnauthorizedException"}}]Error on GET /api/users/7
9/23/25, 3:58 PM - IP: unknown - [{"status":401,"message":"Unauthorized","exception":{"response":{"message":"Unauthorized","statusCode":401},"status":401,"options":{},"message":"Unauthorized","name":"UnauthorizedException"}}]Error on POST /api/bookings
9/23/25, 4:22 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":409,"message":"User with this email already exists","exception":{"response":{"message":"User with this email already exists","error":"Conflict","statusCode":409},"status":409,"options":{},"message":"User with this email already exists","name":"ConflictException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on POST /api/users
9/23/25, 4:26 PM - IP: unknown - [{"status":500,"message":"Failed to fetch users","exception":{"response":{"message":"Failed to fetch users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to fetch users","name":"InternalServerErrorException"}}]Error on GET /api/users?page=1&limit=10
9/23/25, 4:26 PM - IP: unknown - [{"status":500,"message":"Failed to fetch users","exception":{"response":{"message":"Failed to fetch users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to fetch users","name":"InternalServerErrorException"}}]Error on GET /api/users?page=2&limit=5
9/23/25, 4:26 PM - IP: unknown - [{"status":500,"message":"Failed to search users","exception":{"response":{"message":"Failed to search users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to search users","name":"InternalServerErrorException"}}]Error on GET /api/users/search?q=john
9/23/25, 4:26 PM - IP: unknown - [{"status":500,"message":"Failed to search users","exception":{"response":{"message":"Failed to search users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to search users","name":"InternalServerErrorException"}}]Error on GET /api/users/search?role=customer
9/23/25, 4:26 PM - IP: unknown - [{"status":400,"message":["is_active must be a boolean value"],"exception":{"response":{"message":["is_active must be a boolean value"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on GET /api/users/search?is_active=true
9/23/25, 4:27 PM - IP: unknown - [{"status":500,"message":"Failed to search users","exception":{"response":{"message":"Failed to search users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to search users","name":"InternalServerErrorException"}}]Error on GET /api/users/search?created_after=2024-01-01&created_before=2024-12-31
9/23/25, 4:27 PM - IP: unknown - [{"status":400,"message":["is_active must be a boolean value","email_verified must be a boolean value"],"exception":{"response":{"message":["is_active must be a boolean value","email_verified must be a boolean value"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on GET /api/users/search?q=jane&role=customer&is_active=true&email_verified=true
9/23/25, 4:27 PM - IP: unknown - [{"status":400,"message":["contact_phone must be a valid phone number"],"exception":{"response":{"message":["contact_phone must be a valid phone number"],"error":"Bad Request","statusCode":400},"status":400,"options":{},"message":"Bad Request Exception","name":"BadRequestException"}}]Error on PATCH /api/users/123e4567-e89b-12d3-a456-426614174000
9/23/25, 4:29 PM - IP: unknown - [{"status":500,"message":"Failed to fetch users","exception":{"response":{"message":"Failed to fetch users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to fetch users","name":"InternalServerErrorException"}}]Error on GET /api/users?page=1&limit=10
9/23/25, 4:32 PM - IP: unknown - [{"status":409,"message":"User with this email already exists","exception":{"response":{"message":"User with this email already exists","error":"Conflict","statusCode":409},"status":409,"options":{},"message":"User with this email already exists","name":"ConflictException"}}]Error on POST /api/users
9/23/25, 4:32 PM - IP: unknown - [{"status":409,"message":"User with this email already exists","exception":{"response":{"message":"User with this email already exists","error":"Conflict","statusCode":409},"status":409,"options":{},"message":"User with this email already exists","name":"ConflictException"}}]Error on POST /api/users
9/23/25, 4:32 PM - IP: unknown - [{"status":409,"message":"User with this email already exists","exception":{"response":{"message":"User with this email already exists","error":"Conflict","statusCode":409},"status":409,"options":{},"message":"User with this email already exists","name":"ConflictException"}}]Error on POST /api/users
9/23/25, 4:32 PM - IP: unknown - [{"status":409,"message":"User with this email already exists","exception":{"response":{"message":"User with this email already exists","error":"Conflict","statusCode":409},"status":409,"options":{},"message":"User with this email already exists","name":"ConflictException"}}]Error on POST /api/users
9/23/25, 4:32 PM - IP: unknown - [{"status":500,"message":"Failed to fetch users","exception":{"response":{"message":"Failed to fetch users","error":"Internal Server Error","statusCode":500},"status":500,"options":{},"message":"Failed to fetch users","name":"InternalServerErrorException"}}]Error on GET /api/users?page=1&limit=10
